name,price,status,shipping,free_returns,items_sold
Nerfoop Basketball Hoop Nerf Sports Jump Shot - Indoor Hoop,1600,Brand New,900,False,
NERF Sports Nerfoop Jump Shot Basketball Hoop Mini Indoor Home Net ,1231,Brand New,1260,False,
Nerf Nerfoop Classic Mini Foam Basketball and Hoop Hooks on Doors Lime Green New,1597,Brand New,0,False,
Nerf Sport Nerfoop Classic Black/Blue Indoor Basketball Hoop New In Package,2795,Brand New,1260,False,
NERF Nerfoop -- The Classic Mini Foam Basketball and Hoop -- Hooks On Doors -- I,2490,Brand New,0,False,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors BLUE NEW,2500,Brand New,0,False,
World's Smallest Official NERFOOP Nerf Basketball Hoop by Hasbro ,1016,Brand New,685,False,
World's Smallest NERFOOP - Miniature NERF Basketball Hoop - Desk Toy,1000,Brand New,560,False,
Nerf Sports Nerfoop Basketball Hoop,1999,Brand New,999,False,
Nerf Sports Nerfoop Jump Shot Mini Basketball Hoop,806,Brand New,2199,False,
Nerfoop by Nerf Basketball Hoop That Hangs on A Door! Damaged Box,1400,Brand New,0,False,
2012 Nerf Fire Vision Sports Nerfoop Basketball Hoop Basketball W/Glasses NIB!,2299,Brand New,1575,True,
NEW~Nerf Sports~Nerfoop~Classic~Indoor Basketball Hoop~2008 Hasbro~Retired,2999,Brand New,0,True,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors BLUE NEW,1150,Brand New,1575,False,
Nerf Nerfoop – The Classic Mini Foam Basketball and Hoop -- Hooks On Doors --,1599,Brand New,975,False,
Shop on eBay,2000,Brand New,,False,
Vtg KELLOGG's 1992 US Olympic Basketball DREAM TEAM Nerf Hoop Promo Orig. Pkg.,1499,Brand New,1190,False,
Nerf Super Soaker Dunk It Pool Basketball - Swimming pool basketball hoop-,1099,Brand New,0,False,
Nerf Nerfoop – The Classic Mini Foam Basketball and Hoop -- Hooks On Doors --,799,Brand New,1260,False,
*New In Package* Nerf 2009 Nerfoop Pro Series - Monster Basketball Dunks! Hoop,3399,Brand New,8530,False,
NEW~Nerf Sports~Nerfoop~Classic~Indoor Basketball Hoop~2008 Hasbro~Retired,2999,Brand New,0,True,
